CODE_OPERATION;CODE_STATION;DATE;CODE_PAR;LIB_PAR;RESULTAT
032320802022051713;03232080;17/05/2022;7613;I2M2;0.7936
032224182022051213;03222418;12/05/2022;7613;I2M2;0.6547
032197802022051113;03219780;11/05/2022;7613;I2M2;0.6809
031970002022051113;03197000;11/05/2022;7613;I2M2;0.5292
031946202022051113;03194620;11/05/2022;7613;I2M2;0.6231
032120902021102613;03212090;26/10/2021;7613;I2M2;0.8837
032260002021092413;03226000;24/09/2021;7613;I2M2;0.8614
032415902021092313;03241590;23/09/2021;7613;I2M2;0.7381
032367302021092313;03236730;23/09/2021;7613;I2M2;0.5084
032419572021092213;03241957;22/09/2021;7613;I2M2;0.768
032363952021092213;03236395;22/09/2021;7613;I2M2;0.7341
032401002021092113;03240100;21/09/2021;7613;I2M2;0.5027
032349562021092113;03234956;21/09/2021;7613;I2M2;0.627
032346502021092113;03234650;21/09/2021;7613;I2M2;0.5116
032339802021092013;03233980;20/09/2021;7613;I2M2;0.4512
032411702021092013;03241170;20/09/2021;7613;I2M2;0.8621
032342152021092013;03234215;20/09/2021;7613;I2M2;0.2119
032286902021091713;03228690;17/09/2021;7613;I2M2;0.4036
032310652021091513;03231065;15/09/2021;7613;I2M2;0.3197
032472102021091413;03247210;14/09/2021;7613;I2M2;0.5801
032463002021091413;03246300;14/09/2021;7613;I2M2;0.2321
041237602021090913;04123760;09/09/2021;7613;I2M2;0.8365
032320802021090813;03232080;08/09/2021;7613;I2M2;0.8059
032317402021090813;03231740;08/09/2021;7613;I2M2;0.6994
041237552021090813;04123755;08/09/2021;7613;I2M2;0.656
032324502021090713;03232450;07/09/2021;7613;I2M2;0.734
041156752021090713;04115675;07/09/2021;7613;I2M2;0.6418
032263002021090613;03226300;06/09/2021;7613;I2M2;0.5479
041155802021090613;04115580;06/09/2021;7613;I2M2;0.7367
031788352021090313;03178835;03/09/2021;7613;I2M2;0.5422
032555802021090213;03255580;02/09/2021;7613;I2M2;0.5529
032547702021090113;03254770;01/09/2021;7613;I2M2;0.4887
032504752021082513;03250475;25/08/2021;7613;I2M2;0.8167
032556502021081913;03255650;19/08/2021;7613;I2M2;0.4848
032551802021081913;03255180;19/08/2021;7613;I2M2;0.6245
031750002021081813;03175000;18/08/2021;7613;I2M2;0.8924
031746952021081813;03174695;18/08/2021;7613;I2M2;0.1219
032537802021081413;03253780;14/08/2021;7613;I2M2;0.5669
032266402021081113;03226640;11/08/2021;7613;I2M2;0.594
032265402021081113;03226540;11/08/2021;7613;I2M2;0.5165
032272962021081113;03227296;11/08/2021;7613;I2M2;0.5959
032314902021081013;03231490;10/08/2021;7613;I2M2;0.4345
032451002021081013;03245100;10/08/2021;7613;I2M2;0.5269
032469202021080913;03246920;09/08/2021;7613;I2M2;0.4915
031786602021080713;03178660;07/08/2021;7613;I2M2;0.6722
032507972021080513;03250797;05/08/2021;7613;I2M2;0.6896
032504302021080513;03250430;05/08/2021;7613;I2M2;0.7699
032271002021080513;03227100;05/08/2021;7613;I2M2;0.4308
032484012021080413;03248401;04/08/2021;7613;I2M2;0.6966
032726852021072313;03272685;23/07/2021;7613;I2M2;0.6398
032656002021072213;03265600;22/07/2021;7613;I2M2;0.6688
032659932021072213;03265993;22/07/2021;7613;I2M2;0.6356
032640002021072213;03264000;22/07/2021;7613;I2M2;0.3638
032649652021072213;03264965;22/07/2021;7613;I2M2;0.57
032142402021072113;03214240;21/07/2021;7613;I2M2;0.4997
032160002021072113;03216000;21/07/2021;7613;I2M2;0.3989
032710002021072113;03271000;21/07/2021;7613;I2M2;0.6709
032170002021072013;03217000;20/07/2021;7613;I2M2;0.2126
032694382021072013;03269438;20/07/2021;7613;I2M2;0.5701
032578002021072013;03257800;20/07/2021;7613;I2M2;0.5535
032703902021072013;03270390;20/07/2021;7613;I2M2;0.6818
032174002021072013;03217400;20/07/2021;7613;I2M2;0.4548
032616002021072013;03261600;20/07/2021;7613;I2M2;0.5564
032700002021072013;03270000;20/07/2021;7613;I2M2;0.721
032657102021071913;03265710;19/07/2021;7613;I2M2;0.5779
032714152021071913;03271415;19/07/2021;7613;I2M2;0.6508
032719652021071913;03271965;19/07/2021;7613;I2M2;0.5928
041231002021070613;04123100;06/07/2021;7613;I2M2;0.7377
041107002021070613;04110700;06/07/2021;7613;I2M2;0.3865
031801002021060213;03180100;02/06/2021;7613;I2M2;0.585
032224182021050713;03222418;07/05/2021;7613;I2M2;0.7936
032232002021050613;03223200;06/05/2021;7613;I2M2;0.8272
032227802021050613;03222780;06/05/2021;7613;I2M2;0.6948
032215002021050613;03221500;06/05/2021;7613;I2M2;0.883
031970002021050513;03197000;05/05/2021;7613;I2M2;0.514
031985302021050513;03198530;05/05/2021;7613;I2M2;0.8103
032197802021050513;03219780;05/05/2021;7613;I2M2;0.7571
032022502021042913;03202250;29/04/2021;7613;I2M2;0.5436
032040002021042813;03204000;28/04/2021;7613;I2M2;0.7683
032050002021042813;03205000;28/04/2021;7613;I2M2;0.2723
032070202021042713;03207020;27/04/2021;7613;I2M2;0.0765
031946202021042313;03194620;23/04/2021;7613;I2M2;0.726
031992002021042313;03199200;23/04/2021;7613;I2M2;0.8519
031917002021042213;03191700;22/04/2021;7613;I2M2;0.6637
031780002021042213;03178000;22/04/2021;7613;I2M2;0.7896
031769452021042113;03176945;21/04/2021;7613;I2M2;0.5856
032459702020111013;03245970;10/11/2020;7613;I2M2;0.5982
032726852020101613;03272685;16/10/2020;7613;I2M2;0.6942
032342152020101413;03234215;14/10/2020;7613;I2M2;0.4362
032349562020101313;03234956;13/10/2020;7613;I2M2;0.7918
032339802020101213;03233980;12/10/2020;7613;I2M2;0.7596
032346502020092813;03234650;28/09/2020;7613;I2M2;0.6923
032472102020091613;03247210;16/09/2020;7613;I2M2;0.6036
032469202020091513;03246920;15/09/2020;7613;I2M2;0.6349
032401002020091513;03240100;15/09/2020;7613;I2M2;0.7897
032411702020091413;03241170;14/09/2020;7613;I2M2;0.8389
031769452020090713;03176945;07/09/2020;7613;I2M2;0.5892
041237602020090313;04123760;03/09/2020;7613;I2M2;0.7813
041231002020090213;04123100;02/09/2020;7613;I2M2;0.7079
031992002020090213;03199200;02/09/2020;7613;I2M2;0.8778
032232002020090213;03223200;02/09/2020;7613;I2M2;0.7753
041156752020090113;04115675;01/09/2020;7613;I2M2;0.6733
041107002020090113;04110700;01/09/2020;7613;I2M2;0.5391
032170002020090113;03217000;01/09/2020;7613;I2M2;0.5633
032142402020090113;03214240;01/09/2020;7613;I2M2;0.5249
041155802020090113;04115580;01/09/2020;7613;I2M2;0.8387
032551802020082813;03255180;28/08/2020;7613;I2M2;0.6428
032555802020082713;03255580;27/08/2020;7613;I2M2;0.4157
032547702020082613;03254770;26/08/2020;7613;I2M2;0.3384
032556502020082613;03255650;26/08/2020;7613;I2M2;0.4005
032537802020080513;03253780;05/08/2020;7613;I2M2;0.4767
032578002020080413;03257800;04/08/2020;7613;I2M2;0.5282
032286902020073013;03228690;30/07/2020;7613;I2M2;0.6043
032310652020073013;03231065;30/07/2020;7613;I2M2;0.3812
032314902020072913;03231490;29/07/2020;7613;I2M2;0.5116
032324502020072813;03232450;28/07/2020;7613;I2M2;0.6547
031750002020072813;03175000;28/07/2020;7613;I2M2;0.8789
032320802020072813;03232080;28/07/2020;7613;I2M2;0.7601
032317402020072713;03231740;27/07/2020;7613;I2M2;0.6897
032659932020072413;03265993;24/07/2020;7613;I2M2;0.6931
032657102020072313;03265710;23/07/2020;7613;I2M2;0.6813
032504302020072213;03250430;22/07/2020;7613;I2M2;0.7673
032507972020072213;03250797;22/07/2020;7613;I2M2;0.7605
032656002020072213;03265600;22/07/2020;7613;I2M2;0.6017
032504752020072213;03250475;22/07/2020;7613;I2M2;0.7365
032649652020072113;03264965;21/07/2020;7613;I2M2;0.6632
032703902020072113;03270390;21/07/2020;7613;I2M2;0.7847
032484012020072113;03248401;21/07/2020;7613;I2M2;0.7101
032700002020072113;03270000;21/07/2020;7613;I2M2;0.7958
032710002020072013;03271000;20/07/2020;7613;I2M2;0.7344
032694382020071013;03269438;10/07/2020;7613;I2M2;0.721
032022502020070913;03202250;09/07/2020;7613;I2M2;0.4772
032040002020070913;03204000;09/07/2020;7613;I2M2;0.5548
032050002020070913;03205000;09/07/2020;7613;I2M2;0.2429
032419572020070913;03241957;09/07/2020;7613;I2M2;0.7645
032367302020070813;03236730;08/07/2020;7613;I2M2;0.5429
032070202020070813;03207020;08/07/2020;7613;I2M2;0.0738
032363952020070813;03236395;08/07/2020;7613;I2M2;0.6923
032714152020070813;03271415;08/07/2020;7613;I2M2;0.5897
032719652020070713;03271965;07/07/2020;7613;I2M2;0.5727
032415902020070713;03241590;07/07/2020;7613;I2M2;0.7939
032616002020063013;03261600;30/06/2020;7613;I2M2;0.6919
